ID,Label,SW_Pred,HW_Pred,HW_eq_SW,HW_eq_GT,SW_Conf,HW_Conf,MAE,KL,Cos,HW_Sum,Valid,Total_Cyc,P1_Cyc,P2_Cyc,Stall_Cyc,Compute_Cyc,IP_us
33,4,4,4,1,1,0.744155,0.743927,0.000044,0.000092,1.000000,0.999908,True,161077,79701,81362,0,71,483.7147
34,7,7,7,1,1,0.808594,0.808411,0.000042,0.000000,1.000000,1.000000,True,159922,78898,81010,0,71,480.2462
35,2,2,2,1,1,0.950020,0.950012,0.000015,0.000001,1.000000,1.000000,True,176158,79673,96471,0,71,529.0030
36,7,7,7,1,1,0.762014,0.761841,0.000042,0.000000,1.000000,1.000000,True,159869,78641,81214,0,71,480.0871
37,1,1,1,1,1,0.944855,0.944885,0.000020,0.000001,1.000000,1.000000,True,160235,79827,80394,0,71,481.1862
38,2,2,2,1,1,0.814318,0.814117,0.000052,-0.000061,1.000000,1.000061,True,161199,79735,81450,0,71,484.0811
39,1,1,1,1,1,0.960782,0.960907,0.000022,-0.000060,1.000000,1.000061,True,160273,79744,80515,0,71,481.3003
40,1,1,1,1,1,0.640294,0.638672,0.000229,0.002292,1.000000,0.997711,True,162116,79278,82824,0,71,486.8348
41,7,7,7,1,1,0.734027,0.733734,0.000060,0.000031,1.000000,0.999969,True,159839,79267,80558,0,71,479.9970
42,4,4,4,1,1,0.916550,0.916534,0.000026,-0.000059,1.000000,1.000061,True,160268,79233,81021,0,71,481.2853
43,2,2,2,1,1,0.703481,0.703308,0.000038,0.000031,1.000000,0.999969,True,160675,80006,80655,0,71,482.5075
44,3,3,3,1,1,0.900647,0.900604,0.000018,0.000061,1.000000,0.999939,True,160620,79402,81204,0,71,482.3423
45,5,5,5,1,1,0.957074,0.957123,0.000020,-0.000027,1.000000,1.000031,True,176217,93345,82858,0,71,529.1802
46,1,1,1,1,1,0.952859,0.952911,0.000013,0.000002,1.000000,1.000000,True,175933,80310,95609,0,71,528.3273
47,2,2,2,1,1,0.914608,0.914642,0.000011,-0.000030,1.000000,1.000031,True,160435,79413,81008,0,71,481.7868
48,4,4,4,1,1,0.798076,0.797729,0.000085,0.000032,1.000000,0.999969,True,160922,79389,81519,0,71,483.2492
49,4,4,4,1,1,0.961768,0.961884,0.000028,0.000035,1.000000,0.999969,True,160464,79903,80547,0,71,481.8739
50,6,6,6,1,1,0.919484,0.919586,0.000027,-0.000090,1.000000,1.000092,True,161308,80294,81000,0,71,484.4084
51,3,3,3,1,1,0.975381,0.975494,0.000024,0.000003,1.000000,1.000000,True,160947,80099,80834,0,71,483.3243
52,5,5,5,1,1,0.993014,0.993195,0.000036,0.000260,1.000000,1.000000,True,160806,78983,81809,0,71,482.9009
53,5,5,5,1,1,0.928440,0.928436,0.000010,0.000031,1.000000,0.999969,True,161335,79933,81388,0,71,484.4895
54,6,6,6,1,1,0.983786,0.983887,0.000023,0.000469,1.000000,0.999969,True,161266,79952,81300,0,71,484.2823
55,0,0,0,1,1,0.943643,0.943665,0.000013,-0.000030,1.000000,1.000031,True,160400,79629,80757,0,71,481.6817
56,4,4,4,1,1,0.984715,0.984772,0.000015,0.000033,1.000000,0.999969,True,176118,91624,84480,0,71,528.8829
57,1,1,1,1,1,0.752110,0.751984,0.000031,0.000031,1.000000,0.999969,True,159821,79417,80390,0,71,479.9429
58,9,9,9,1,1,0.975535,0.975647,0.000023,0.000225,1.000000,1.000061,True,162379,80874,81491,0,71,487.6246
59,5,5,5,1,1,0.769302,0.768982,0.000076,0.000062,1.000000,0.999939,True,199650,116405,83231,0,71,599.5495
60,7,7,7,1,1,0.993367,0.993561,0.000036,0.000002,1.000000,1.000031,True,160346,79346,80986,0,71,481.5195
61,8,8,8,1,1,0.987164,0.987274,0.000020,-0.000023,1.000000,1.000031,True,160910,79955,80941,0,69,483.2132
62,9,9,9,1,1,0.395937,0.394653,0.000296,0.002965,1.000000,0.997040,True,168282,86592,81676,0,71,505.3514
63,3,3,3,1,1,0.910304,0.910309,0.000020,0.000064,1.000000,0.999939,True,161383,80789,80580,0,71,484.6336
64,7,7,7,1,1,0.897215,0.897095,0.000033,0.000001,1.000000,1.000000,True,161604,79949,81641,0,71,485.2973
65,4,4,4,1,1,0.641389,0.641083,0.000059,0.000122,1.000000,0.999878,True,159599,79225,80360,0,71,479.2763
66,6,6,6,1,1,0.770380,0.770111,0.000054,0.000031,1.000000,0.999969,True,179313,78695,100604,0,71,538.4775
67,4,4,4,1,1,0.964712,0.964813,0.000026,-0.000029,1.000000,1.000031,True,159849,79450,80385,0,71,480.0270
68,3,3,3,1,1,0.962485,0.962616,0.000024,-0.000022,1.000000,1.000031,True,159920,79309,80597,0,71,480.2402
69,0,0,0,1,1,0.923775,0.923767,0.000008,0.000000,1.000000,1.000000,True,159778,78965,80799,0,71,479.8138
70,7,7,7,1,1,0.993215,0.993347,0.000022,0.000055,1.000000,1.000061,True,159979,78997,80968,0,71,480.4174
71,0,0,0,1,1,0.988923,0.989044,0.000020,-0.000059,1.000000,1.000061,True,160185,79599,80572,0,71,481.0360
72,2,2,2,1,1,0.856926,0.856873,0.000020,0.000001,1.000000,1.000000,True,161158,79562,81582,0,71,483.9580
73,9,9,9,1,1,0.696147,0.695770,0.000083,0.000001,1.000000,1.000000,True,160039,79254,80771,0,71,480.5976
74,1,1,1,1,1,0.934957,0.934967,0.000016,0.000001,1.000000,1.000000,True,161715,79559,82142,0,71,485.6306
75,7,7,7,1,1,0.883312,0.883270,0.000018,-0.000030,1.000000,1.000031,True,159990,79132,80844,0,71,480.4505
76,3,3,3,1,1,0.960909,0.960999,0.000020,-0.000060,1.000000,1.000061,True,162141,80225,81902,0,71,486.9099
77,2,2,2,1,1,0.813442,0.813385,0.000019,-0.000061,1.000000,1.000061,True,176540,93253,83273,0,71,530.1502
78,9,9,9,1,1,0.775390,0.775146,0.000058,-0.000030,1.000000,1.000031,True,160968,80277,80677,0,71,483.3874
79,7,7,7,1,1,0.733184,0.732880,0.000063,0.000062,1.000000,0.999939,True,159848,79352,80482,0,71,480.0240
80,7,7,7,1,1,0.884874,0.884796,0.000040,0.000032,1.000000,0.999969,True,175075,81012,94049,0,71,525.7508
81,6,6,6,1,1,0.863718,0.863586,0.000044,0.000063,1.000000,0.999939,True,160168,79384,80770,0,71,480.9850
82,2,2,2,1,1,0.991758,0.991882,0.000022,0.000170,1.000000,1.000031,True,160600,79687,80899,0,71,482.2823
83,7,7,7,1,1,0.956563,0.956604,0.000018,0.000002,1.000000,1.000000,True,159808,79577,80217,0,71,479.9039
84,8,8,8,1,1,0.950337,0.950378,0.000010,-0.000061,1.000000,1.000061,True,157972,77983,79975,0,71,474.3904
85,4,4,4,1,1,0.908661,0.908600,0.000023,0.000001,1.000000,1.000000,True,156874,77986,78874,0,71,471.0931
86,7,7,7,1,1,0.910185,0.910156,0.000015,0.000002,1.000000,1.000000,True,159789,79997,79778,0,71,479.8468
87,3,3,3,1,1,0.907734,0.907715,0.000025,-0.000030,1.000000,1.000031,True,159007,79602,79391,0,71,477.4985
88,6,6,6,1,1,0.973778,0.973938,0.000031,-0.000056,1.000000,1.000061,True,158052,78690,79348,0,71,474.6306
89,1,1,1,1,1,0.757771,0.757599,0.000040,0.000000,1.000000,1.000000,True,157587,78304,79269,0,71,473.2342
90,3,3,3,1,1,0.939338,0.939331,0.000014,0.000001,1.000000,1.000000,True,174573,78499,96060,0,71,524.2432
91,6,6,6,1,1,0.965117,0.965210,0.000029,0.000005,1.000000,1.000000,True,158089,79052,79023,0,68,474.7417
92,9,9,9,1,1,0.617014,0.615265,0.000229,0.002292,1.000000,0.997711,True,160076,80458,79604,0,71,480.7087
93,3,3,3,1,1,0.795192,0.794983,0.000052,0.000032,1.000000,0.999969,True,157261,78192,79055,0,71,472.2553
94,1,1,1,1,1,0.966743,0.966797,0.000018,0.000380,1.000000,1.000000,True,158900,78891,79995,0,71,477.1772
95,4,4,4,1,1,0.731647,0.731262,0.000080,0.000000,1.000000,1.000000,True,156992,78054,78924,0,71,471.4474
96,1,1,1,1,1,0.809773,0.809601,0.000038,0.000031,1.000000,0.999969,True,158675,79263,79398,0,71,476.5015
97,7,7,7,1,1,0.822404,0.822266,0.000041,0.000031,1.000000,0.999969,True,157564,78133,79417,0,71,473.1652
98,6,6,6,1,1,0.844859,0.844818,0.000024,0.000001,1.000000,1.000000,True,158719,79100,79605,0,69,476.6336
99,9,9,9,1,1,0.978103,0.978271,0.000028,0.000369,1.000000,1.000061,True,157941,78698,79229,0,71,474.2973
100,6,6,6,1,1,0.877827,0.877716,0.000030,-0.000030,1.000000,1.000031,True,158672,79027,79631,0,71,476.4925
101,0,0,0,1,1,0.971887,0.971985,0.000023,0.000032,1.000000,0.999969,True,173143,78592,94537,0,71,519.9489
102,5,5,5,1,1,0.997056,0.997223,0.000033,0.001127,1.000000,1.000000,True,158183,78669,79500,0,71,475.0240
103,4,4,4,1,1,0.981781,0.981873,0.000021,0.000002,1.000000,1.000000,True,157645,78637,78994,0,71,473.4084
104,9,9,9,1,1,0.717733,0.717682,0.000019,0.000000,1.000000,1.000000,True,159397,80543,78840,0,71,478.6697
105,9,9,9,1,1,0.964748,0.964844,0.000017,-0.000090,1.000000,1.000092,True,157246,79021,78211,0,71,472.2102
106,2,2,2,1,1,0.965303,0.965424,0.000032,0.000034,1.000000,0.999969,True,157699,78605,79080,0,71,473.5706
107,1,1,1,1,1,0.766342,0.766113,0.000052,0.000000,1.000000,1.000000,True,157005,78176,78815,0,71,471.4865
108,9,9,9,1,1,0.980674,0.980835,0.000029,0.000157,1.000000,1.000031,True,158153,79146,78993,0,71,474.9339
109,4,4,4,1,1,0.917825,0.917877,0.000018,-0.000091,1.000000,1.000092,True,157348,78556,78778,0,71,472.5165
110,8,8,8,1,1,0.983923,0.984009,0.000019,0.000005,1.000000,1.000000,True,158641,78673,79954,0,71,476.3994
111,7,7,7,1,1,0.685078,0.683136,0.000248,0.002475,1.000000,0.997528,True,172449,92486,79949,0,71,517.8649
112,3,3,3,1,1,0.950759,0.950836,0.000020,-0.000030,1.000000,1.000031,True,171482,79316,92152,0,71,514.9610
113,9,9,9,1,1,0.973264,0.973389,0.000024,-0.000022,1.000000,1.000031,True,156775,78053,78708,0,71,470.7958
114,7,7,7,1,1,0.784351,0.784180,0.000037,0.000031,1.000000,0.999969,True,158181,78664,79503,0,71,475.0180
115,4,9,9,1,0,0.469097,0.467407,0.000342,0.003424,1.000000,0.996582,True,157359,77908,79437,0,71,472.5495
116,4,4,4,1,1,0.784064,0.783783,0.000068,0.000001,1.000000,1.000000,True,157892,78924,78954,0,71,474.1502
117,4,4,4,1,1,0.986831,0.986969,0.000026,-0.000024,1.000000,1.000031,True,157744,78733,78997,0,71,473.7057
118,9,9,9,1,1,0.754265,0.754059,0.000046,0.000031,1.000000,0.999969,True,157475,78580,78881,0,71,472.8979
119,2,2,2,1,1,0.800373,0.800293,0.000024,0.000031,1.000000,0.999969,True,159847,80276,79557,0,71,480.0210
120,5,5,5,1,1,0.996650,0.996826,0.000032,0.000323,1.000000,1.000031,True,158135,78321,79800,0,71,474.8799
121,4,8,8,1,0,0.380085,0.378845,0.000281,0.002812,1.000000,0.997192,True,158647,79064,79569,0,71,476.4174
122,7,7,7,1,1,0.920143,0.920135,0.000012,0.000031,1.000000,0.999969,True,157494,78126,79354,0,71,472.9550
123,6,6,6,1,1,0.936905,0.937012,0.000021,-0.000061,1.000000,1.000061,True,159353,79452,79887,0,71,478.5375
124,7,7,7,1,1,0.825685,0.825562,0.000034,-0.000030,1.000000,1.000031,True,157486,78195,79277,0,71,472.9309
125,9,9,9,1,1,0.800143,0.800018,0.000029,0.000031,1.000000,0.999969,True,158112,78265,79833,0,71,474.8108
126,0,0,0,1,1,0.945848,0.945892,0.000016,-0.000030,1.000000,1.000031,True,173117,79106,93997,0,71,519.8709
127,5,5,5,1,1,0.998462,0.998566,0.000021,0.000655,1.000000,1.000000,True,157900,78824,79062,0,71,474.1742
128,8,8,8,1,1,0.982325,0.982452,0.000027,0.000002,1.000000,1.000000,True,158670,78238,80418,0,71,476.4865
129,5,5,5,1,1,0.999194,0.999268,0.000018,0.000823,1.000000,0.999969,True,157582,78777,78791,0,71,473.2192
130,6,6,6,1,1,0.933899,0.933899,0.000018,0.000032,1.000000,0.999969,True,157039,77642,79383,0,71,471.5886
131,6,6,6,1,1,0.948338,0.948456,0.000022,0.000103,1.000000,1.000092,True,157020,78021,78985,0,71,471.5315
132,5,5,5,1,1,0.982948,0.983002,0.000014,0.000038,1.000000,1.000000,True,157872,78690,79168,0,71,474.0901
133,7,7,7,1,1,0.799955,0.799713,0.000051,0.000000,1.000000,1.000000,True,158413,78712,79687,0,71,475.7147
134,8,8,8,1,1,0.990727,0.990875,0.000024,-0.000060,1.000000,1.000061,True,156837,77319,79504,0,71,470.9820
135,1,1,1,1,1,0.979871,0.980042,0.000028,-0.000056,1.000000,1.000061,True,177864,78547,99303,0,71,534.1261
136,0,0,0,1,1,0.943257,0.943329,0.000020,0.000000,1.000000,1.000000,True,158452,78678,79760,0,71,475.8318
137,1,1,1,1,1,0.868534,0.868530,0.000010,0.000031,1.000000,0.999969,True,158788,79330,79444,0,71,476.8408
138,6,6,6,1,1,0.986469,0.986572,0.000020,-0.000028,1.000000,1.000031,True,157938,78508,79416,0,71,474.2883
139,4,4,4,1,1,0.664270,0.663971,0.000062,0.000061,1.000000,0.999939,True,157659,78474,79171,0,71,473.4505
140,6,6,6,1,1,0.856890,0.856873,0.000015,-0.000030,1.000000,1.000031,True,160268,78683,81571,0,71,481.2853
141,7,7,7,1,1,0.981766,0.981842,0.000019,0.000351,1.000000,0.999969,True,157620,78749,78857,0,71,473.3333
142,3,3,3,1,1,0.863252,0.863159,0.000030,-0.000030,1.000000,1.000031,True,157757,78315,79428,0,71,473.7447
143,1,1,1,1,1,0.866100,0.865997,0.000029,0.000062,1.000000,0.999939,True,157863,78789,79060,0,71,474.0631
144,7,7,7,1,1,0.849833,0.849731,0.000032,0.000000,1.000000,1.000000,True,158429,78674,79741,0,71,475.7628
145,1,1,1,1,1,0.929629,0.929596,0.000009,0.000031,1.000000,0.999969,True,175994,95329,80651,0,71,528.5105
146,8,8,8,1,1,0.958307,0.958374,0.000020,0.000001,1.000000,1.000000,True,170464,78694,91756,0,71,511.9039
147,2,2,2,1,1,0.973099,0.973206,0.000018,-0.000061,1.000000,1.000061,True,158059,78802,79243,0,71,474.6517
148,0,0,0,1,1,0.969827,0.969910,0.000022,0.000001,1.000000,1.000000,True,158097,78555,79528,0,71,474.7658
149,2,2,2,1,1,0.353237,0.351562,0.000388,0.003884,1.000000,0.996124,True,157916,78517,79385,0,71,474.2222
150,9,9,9,1,1,0.985587,0.985687,0.000021,0.000003,1.000000,1.000000,True,157790,78037,79739,0,71,473.8438
151,9,9,9,1,1,0.555454,0.554199,0.000205,0.002047,1.000000,0.997955,True,158044,78838,79192,0,71,474.6066
152,5,5,5,1,1,0.987907,0.988007,0.000019,0.000357,1.000000,1.000031,True,159647,80068,79565,0,71,479.4204
153,5,5,5,1,1,0.976021,0.976135,0.000023,0.000002,1.000000,1.000000,True,157276,78347,78915,0,71,472.3003
154,1,1,1,1,1,0.922624,0.922699,0.000018,-0.000060,1.000000,1.000061,True,159340,79608,79718,0,71,478.4985
155,5,5,5,1,1,0.995904,0.996002,0.000018,0.000466,1.000000,1.000031,True,157905,78076,79815,0,71,474.1892
156,6,6,6,1,1,0.958887,0.958984,0.000022,0.000001,1.000000,1.000000,True,173336,93323,79999,0,71,520.5285
157,0,0,0,1,1,0.946788,0.946869,0.000018,-0.000030,1.000000,1.000031,True,170972,79258,91700,0,71,513.4294
158,3,0,0,1,0,0.313859,0.312866,0.000238,0.002384,1.000000,0.997620,True,158083,78542,79527,0,71,474.7237
159,4,4,4,1,1,0.799038,0.798798,0.000052,0.000092,1.000000,0.999908,True,157660,78827,78819,0,71,473.4535
160,4,4,4,1,1,0.562856,0.561493,0.000205,0.002047,1.000000,0.997955,True,159095,79124,79957,0,71,477.7628
161,6,6,6,1,1,0.973903,0.973999,0.000021,0.000212,1.000000,1.000000,True,165052,82207,82831,0,71,495.6517
162,5,5,5,1,1,0.999931,0.999786,0.000028,0.000194,1.000000,0.999969,True,159347,79556,79777,0,71,478.5195
163,4,4,4,1,1,0.978190,0.978333,0.000028,-0.000051,1.000000,1.000061,True,157618,78456,79148,0,71,473.3273
164,6,6,6,1,1,0.895207,0.895172,0.000020,0.000000,1.000000,1.000000,True,157825,78489,79322,0,71,473.9489
165,5,5,5,1,1,0.993634,0.993774,0.000025,0.000077,1.000000,1.000031,True,158715,79093,79608,0,71,476.6216
166,4,4,4,1,1,0.886716,0.886658,0.000021,0.000000,1.000000,1.000000,True,158705,78860,79831,0,71,476.5916
167,5,5,5,1,1,0.866758,0.866730,0.000016,0.000031,1.000000,0.999969,True,175512,93400,82098,0,71,527.0631
168,1,1,1,1,1,0.950083,0.950165,0.000018,0.000000,1.000000,1.000000,True,172107,78934,93159,0,71,516.8378
169,4,4,4,1,1,0.945266,0.945312,0.000025,-0.000029,1.000000,1.000031,True,159155,79084,80057,0,71,477.9429
170,4,4,4,1,1,0.943943,0.944061,0.000025,-0.000029,1.000000,1.000031,True,155075,77618,77443,0,71,465.6907
171,7,8,8,1,0,0.494967,0.493958,0.000181,0.001802,1.000000,0.998199,True,156842,78443,78385,0,71,470.9970
172,2,2,2,1,1,0.866306,0.866211,0.000031,0.000033,1.000000,0.999969,True,157160,78066,79080,0,71,471.9520
173,3,3,3,1,1,0.759722,0.759460,0.000052,0.000061,1.000000,0.999939,True,157168,78549,78605,0,71,471.9760
174,2,2,2,1,1,0.887475,0.887360,0.000034,0.000000,1.000000,1.000000,True,158707,79966,78727,0,71,476.5976
175,7,7,7,1,1,0.249532,0.248138,0.000455,0.004558,1.000000,0.995453,True,157555,78604,78937,0,71,473.1381
176,1,1,1,1,1,0.738444,0.738251,0.000044,0.000061,1.000000,0.999939,True,157962,78063,79885,0,71,474.3604
177,8,8,8,1,1,0.917806,0.917847,0.000017,-0.000030,1.000000,1.000031,True,170420,91274,79132,0,71,511.7718
178,1,1,1,1,1,0.968988,0.969055,0.000017,-0.000028,1.000000,1.000031,True,157682,78829,78839,0,71,473.5195
179,8,8,8,1,1,0.985621,0.985687,0.000017,0.000032,1.000000,0.999969,True,157001,78228,78759,0,71,471.4745
180,1,1,1,1,1,0.960625,0.960724,0.000023,0.000032,1.000000,0.999969,True,157721,78454,79253,0,71,473.6366
181,8,8,8,1,1,0.988508,0.988647,0.000028,0.000007,1.000000,1.000000,True,157705,79160,78531,0,71,473.5886
182,5,5,5,1,1,0.926989,0.926941,0.000017,0.000031,1.000000,0.999969,True,156767,78992,77761,0,71,470.7718
183,0,0,0,1,1,0.993731,0.993896,0.000029,-0.000058,1.000000,1.000061,True,156913,78841,78058,0,71,471.2102
184,8,8,8,1,1,0.694629,0.694519,0.000032,0.000001,1.000000,1.000000,True,156835,77739,79082,0,71,470.9760
185,9,9,9,1,1,0.960115,0.960236,0.000021,-0.000030,1.000000,1.000031,True,156711,78310,78387,0,71,470.6036
186,2,2,2,1,1,0.956010,0.956055,0.000013,0.000034,1.000000,0.999969,True,158260,79244,79002,0,71,475.2553
187,5,5,5,1,1,0.982155,0.982300,0.000027,0.000066,1.000000,1.000031,True,170565,91178,79373,0,71,512.2072
188,0,0,0,1,1,0.988266,0.988403,0.000026,-0.000027,1.000000,1.000031,True,170055,78168,91873,0,71,510.6757
189,1,1,1,1,1,0.873351,0.873291,0.000020,0.000031,1.000000,0.999969,True,159245,79976,79255,0,71,478.2132
190,1,1,1,1,1,0.778670,0.778503,0.000040,0.000031,1.000000,0.999969,True,157343,78401,78928,0,71,472.5015
191,1,1,1,1,1,0.879849,0.879852,0.000015,-0.000030,1.000000,1.000031,True,157770,78938,78818,0,71,473.7838
192,0,0,0,1,1,0.956808,0.956879,0.000021,0.000062,1.000000,0.999939,True,157274,78656,78604,0,71,472.2943
193,9,9,9,1,1,0.660154,0.659973,0.000038,0.000031,1.000000,0.999969,True,157500,78877,78609,0,71,472.9730
194,0,0,0,1,1,0.958679,0.958710,0.000009,-0.000030,1.000000,1.000031,True,155752,78362,77376,0,71,467.7237
195,3,3,3,1,1,0.519822,0.518494,0.000189,0.001894,1.000000,0.998108,True,157409,78583,78812,0,71,472.6997
196,1,1,1,1,1,0.958944,0.959045,0.000025,-0.000029,1.000000,1.000031,True,157988,78706,79268,0,71,474.4384
197,6,6,6,1,1,0.929434,0.929443,0.000020,0.000035,1.000000,0.999969,True,157137,78172,78951,0,71,471.8829
198,4,4,4,1,1,0.933070,0.933136,0.000019,0.000032,1.000000,0.999969,True,171834,91708,80112,0,71,516.0180
199,2,2,2,1,1,0.629662,0.629547,0.000034,0.000031,1.000000,0.999969,True,157325,77970,79341,0,71,472.4474
200,3,3,3,1,1,0.711759,0.711548,0.000047,-0.000030,1.000000,1.000031,True,156792,77892,78886,0,71,470.8468
201,6,6,6,1,1,0.978376,0.978455,0.000019,0.000001,1.000000,1.000000,True,158082,79259,78809,0,71,474.7207
202,1,1,1,1,1,0.776281,0.776001,0.000072,0.000001,1.000000,1.000000,True,157448,78872,78562,0,71,472.8168
203,1,1,1,1,1,0.884710,0.884583,0.000036,0.000001,1.000000,1.000000,True,157401,78293,79094,0,71,472.6757
204,1,1,1,1,1,0.803538,0.803406,0.000033,0.000031,1.000000,0.999969,True,157786,79012,78760,0,71,473.8318
205,3,3,3,1,1,0.944693,0.944763,0.000023,-0.000029,1.000000,1.000031,True,159568,80249,79305,0,71,479.1832
206,9,9,9,1,1,0.832756,0.832703,0.000023,0.000062,1.000000,0.999939,True,154883,77579,77290,0,71,465.1141
207,5,5,5,1,1,0.941019,0.940979,0.000022,0.000032,1.000000,0.999969,True,156847,78361,78472,0,71,471.0120
208,2,2,2,1,1,0.964887,0.964966,0.000026,0.000182,1.000000,1.000000,True,171271,91935,79322,0,71,514.3273
209,9,9,9,1,1,0.958025,0.958038,0.000014,0.000201,1.000000,1.000000,True,170475,78181,92280,0,71,511.9369
210,4,4,4,1,1,0.828797,0.828796,0.000011,0.000000,1.000000,1.000000,True,156510,77927,78569,0,71,470.0000
211,5,5,5,1,1,0.837322,0.837097,0.000050,-0.000030,1.000000,1.000031,True,157998,78703,79281,0,71,474.4685
212,9,9,9,1,1,0.991837,0.991943,0.000022,0.000232,1.000000,1.000031,True,156175,78359,77802,0,71,468.9940
213,3,3,3,1,1,0.893317,0.893311,0.000010,0.000031,1.000000,0.999969,True,157130,77971,79145,0,71,471.8619
214,9,9,9,1,1,0.921593,0.921570,0.000023,-0.000060,1.000000,1.000061,True,156972,78074,78884,0,71,471.3874
215,0,0,0,1,1,0.940184,0.940186,0.000015,0.000061,1.000000,0.999939,True,157554,78386,79154,0,71,473.1351
216,3,3,3,1,1,0.989060,0.989197,0.000024,0.000214,1.000000,1.000092,True,158353,78989,79350,0,71,475.5345
217,6,6,6,1,1,0.679203,0.679016,0.000045,0.000031,1.000000,0.999969,True,158727,78558,80155,0,71,476.6577
218,5,5,5,1,1,0.990914,0.991058,0.000027,0.000243,1.000000,1.000031,True,168927,90876,78037,0,71,507.2883
219,5,5,5,1,1,0.922807,0.922760,0.000021,-0.000030,1.000000,1.000031,True,156718,78174,78530,0,71,470.6246
