ID,Label,Label_Name,SW_Pred,SW_Name,HW_Pred,HW_Name,HW_eq_SW,HW_eq_GT,Scale,MAE,KL,Cos,Total_Cyc,P1_Cyc,P2_Cyc,Stall_Cyc,Compute_Cyc,Saturated
150,971,bubble,971,bubble,971,bubble,1,1,0.4166,0.001303,1.061301,0.992125,132957,56349,76594,64,360,0
151,473,can opener,816,spindle,816,spindle,1,0,0.4858,0.000880,0.544673,0.940840,145982,68299,77669,48,344,0
152,15,robin,15,robin,15,robin,1,1,0.2904,0.001183,0.903822,0.991569,133714,56867,76833,0,296,0
153,832,stupa,832,stupa,832,stupa,1,1,0.2979,0.001246,0.992514,0.993917,135689,59104,76571,48,344,0
154,512,corkscrew,512,corkscrew,512,corkscrew,1,1,0.5156,0.001214,0.928648,0.942283,140786,62680,78092,32,328,0
155,222,kuvasz,257,Great Pyrenees,257,Great Pyrenees,1,0,0.5386,0.000768,0.448811,0.944534,134580,57741,76825,32,328,0
156,106,wombat,106,wombat,106,wombat,1,1,0.3951,0.001288,1.025491,0.983814,139884,62117,77753,0,296,0
157,223,schipperke,223,schipperke,223,schipperke,1,1,0.4156,0.001271,1.036325,0.944762,132169,55987,76168,16,312,0
158,825,stone wall,825,stone wall,825,stone wall,1,1,0.5808,0.001188,0.849379,0.979125,135511,57747,77750,32,328,0
159,641,maraca,641,maraca,641,maraca,1,1,0.2663,0.001261,1.011748,0.991191,182684,91111,91559,48,361,0
160,684,ocarina,684,ocarina,684,ocarina,1,1,0.4047,0.001263,1.002741,0.990057,145089,67098,77977,64,360,0
161,102,echidna,102,echidna,102,echidna,1,1,0.3172,0.000940,0.707280,0.940475,140949,63229,77706,0,296,0
162,214,Gordon setter,214,Gordon setter,214,Gordon setter,1,1,0.6401,0.000843,0.493004,0.956757,131361,54779,76568,16,312,0
163,726,plane,726,plane,726,plane,1,1,0.4515,0.001311,1.052699,0.980482,128564,52310,76240,64,360,0
164,954,banana,954,banana,954,banana,1,1,0.3155,0.001247,0.994208,0.991534,127699,51594,76091,48,344,0
165,181,Bedlington terrier,181,Bedlington terrier,181,Bedlington terrier,1,1,0.3140,0.000974,0.773162,0.862773,141485,63285,78186,16,312,0
166,813,spatula,774,sandal,774,sandal,1,0,0.6931,0.000557,0.240702,0.963409,130574,53946,76614,48,344,0
167,622,lens cap,622,lens cap,622,lens cap,1,1,0.3219,0.001343,1.124934,0.986907,143684,66063,77607,48,344,0
168,863,totem pole,863,totem pole,863,totem pole,1,1,0.2714,0.001174,0.901236,0.995659,140664,63264,77386,64,360,0
169,665,moped,665,moped,665,moped,1,1,0.4464,0.001245,0.982704,0.954024,151206,70891,80301,32,328,0
170,990,buckeye,990,buckeye,990,buckeye,1,1,0.3364,0.001159,0.882995,0.997112,141146,64224,76908,32,328,0
171,832,stupa,832,stupa,832,stupa,1,1,0.4580,0.001085,0.847835,0.937885,126645,51096,75535,48,344,0
172,242,boxer,245,French bulldog,245,French bulldog,1,0,0.5462,0.000872,0.547360,0.918377,140948,60904,80030,16,312,0
173,594,harp,594,harp,594,harp,1,1,0.4849,0.001141,0.823464,0.954206,132747,55964,76769,48,344,0
174,86,partridge,86,partridge,86,partridge,1,1,0.5398,0.000717,0.398265,0.946146,128457,51480,76963,0,296,0
175,871,trimaran,871,trimaran,871,trimaran,1,1,0.2800,0.001328,1.096883,0.963846,142305,64676,77615,48,344,0
176,223,schipperke,223,schipperke,223,schipperke,1,1,0.2879,0.001254,0.991592,0.980000,151988,73354,78620,16,312,0
177,874,trolleybus,874,trolleybus,874,trolleybus,1,1,0.3565,0.001254,0.986892,0.919280,128532,52261,76257,96,392,0
178,213,Irish setter,213,Irish setter,213,Irish setter,1,1,0.2778,0.001346,1.122777,0.967734,126512,50596,75902,16,312,0
179,315,mantis,315,mantis,315,mantis,1,1,0.2532,0.001279,1.012025,0.933582,145371,63551,81806,16,312,0
180,417,balloon,417,balloon,417,balloon,1,1,0.3879,0.001254,1.065302,0.904183,128892,52679,76199,16,312,0
181,804,soap dispenser,901,whiskey jug,901,whiskey jug,1,0,0.4981,0.000859,0.545522,0.927084,128663,52683,75966,64,360,0
182,126,isopod,126,isopod,126,isopod,1,1,0.3819,0.001231,0.968408,0.948269,139735,62773,76948,0,296,0
183,839,suspension bridge,839,suspension bridge,839,suspension bridge,1,1,0.3902,0.001336,1.106422,0.984641,133405,55712,77679,48,344,0
184,928,ice cream,928,ice cream,928,ice cream,1,1,0.3208,0.001046,0.828629,0.913720,142333,65171,77148,48,344,0
185,998,ear,987,corn,987,corn,1,0,0.3110,0.000875,0.585830,0.997637,130079,53873,76192,32,328,0
186,50,American alligator,50,American alligator,50,American alligator,1,1,0.4858,0.000991,0.689382,0.935799,146750,63996,82740,0,296,0
187,16,bulbul,91,coucal,91,coucal,1,0,0.3407,0.001394,1.182015,0.929488,130082,52962,77106,0,296,0
188,990,buckeye,990,buckeye,990,buckeye,1,1,0.5284,0.000878,0.568586,0.959191,127874,51907,75953,32,328,0
189,988,acorn,988,acorn,988,acorn,1,1,0.4314,0.001278,1.118590,0.877722,143041,66304,76723,16,312,0
190,771,safe,771,safe,771,safe,1,1,0.4813,0.001372,1.150228,0.967551,130406,54355,76037,48,344,0
191,210,German short-haired pointer,210,German short-haired pointer,210,German short-haired pointer,1,1,0.5595,0.001025,0.718493,0.922868,129107,52548,76545,16,312,0
192,966,red wine,907,wine bottle,907,wine bottle,1,0,0.3173,0.001263,0.993594,0.924573,130559,54235,76310,48,344,0
193,68,sidewinder,68,sidewinder,68,sidewinder,1,1,0.4775,0.000685,0.424518,0.917630,149904,72513,77377,0,296,0
194,483,castle,483,castle,483,castle,1,1,0.4241,0.001372,1.140468,0.956645,133134,57012,76108,32,328,0
195,376,proboscis monkey,376,proboscis monkey,376,proboscis monkey,1,1,0.3585,0.001282,1.029411,0.988177,129686,53832,75840,32,328,0
196,580,greenhouse,580,greenhouse,580,greenhouse,1,1,0.6157,0.001028,0.683995,0.970367,136882,60721,76147,64,360,0
197,222,kuvasz,169,borzoi,169,borzoi,1,0,0.6570,0.000505,0.214842,0.944828,134459,58023,76422,16,312,0
198,862,torch,862,torch,862,torch,1,1,0.5153,0.001154,0.840576,0.955731,131361,55159,76188,48,344,0
199,830,stretcher,830,stretcher,830,stretcher,1,1,0.7421,0.000512,0.190424,0.974104,127473,51209,76250,64,360,0
200,895,warplane,895,warplane,895,warplane,1,1,0.4251,0.001329,1.078277,0.958963,142220,64523,77683,64,360,0
201,237,miniature pinscher,237,miniature pinscher,237,miniature pinscher,1,1,0.3794,0.001251,1.066108,0.859982,144150,66635,77501,16,329,0
202,269,timber wolf,269,timber wolf,269,timber wolf,1,1,0.3325,0.001294,1.069628,0.892126,127919,51782,76123,32,328,0
203,96,toucan,96,toucan,96,toucan,1,1,0.3549,0.001415,1.224549,0.964494,139914,62542,77358,0,296,0
204,984,rapeseed,984,rapeseed,984,rapeseed,1,1,0.3184,0.001123,0.838904,0.998115,132773,56257,76502,64,360,0
205,403,aircraft carrier,403,aircraft carrier,403,aircraft carrier,1,1,0.4255,0.001208,0.985486,0.937225,134552,53466,81072,32,328,0
206,764,rifle,454,bookshop,454,bookshop,1,0,0.7571,0.000489,0.176962,0.983950,126912,50590,76308,32,328,0
207,56,king snake,56,king snake,56,king snake,1,1,0.4008,0.001231,1.000197,0.922955,140757,63494,77249,0,296,0
208,273,dingo,273,dingo,273,dingo,1,1,0.3924,0.001338,1.089872,0.952244,130829,54917,75898,16,312,0
209,779,school bus,779,school bus,779,school bus,1,1,0.2374,0.001129,0.847836,0.992015,154013,75537,78462,48,344,0
210,141,redshank,141,redshank,141,redshank,1,1,0.4105,0.001340,1.095257,0.976891,145438,67404,78020,16,312,0
211,187,Yorkshire terrier,193,Australian terrier,193,Australian terrier,1,0,0.5162,0.000778,0.479641,0.973164,130901,54569,76318,16,312,0
212,546,electric guitar,546,electric guitar,546,electric guitar,1,1,0.3813,0.001393,1.190504,0.971729,148705,66091,82600,32,328,0
213,774,sandal,774,sandal,774,sandal,1,1,0.3699,0.001366,1.165453,0.915678,146906,69534,77358,64,360,0
214,165,black-and-tan coonhound,165,black-and-tan coonhound,165,black-and-tan coonhound,1,1,0.4093,0.001184,0.956739,0.912996,148632,67077,81541,16,312,0
215,899,water jug,898,water bottle,898,water bottle,1,0,0.3789,0.001399,1.203233,0.967269,130423,54858,75551,48,344,0
216,689,overskirt,669,mosquito net,669,mosquito net,1,0,0.4621,0.001331,1.075180,0.978393,130035,54085,75936,64,360,0
217,886,vending machine,886,vending machine,886,vending machine,1,1,0.4800,0.001314,1.051554,0.958084,144267,66281,77972,32,328,0
218,634,lumbermill,634,lumbermill,634,lumbermill,1,1,0.5890,0.000919,0.593896,0.943045,143689,66418,77257,48,344,0
219,860,tobacco shop,454,bookshop,454,bookshop,1,0,0.5774,0.000795,0.478734,0.933772,132068,55518,76536,16,312,0
